Gene	Uniprot	Breast cancer	Cervical cancer	Colorectal cancer	Endometrial cancer	Glioma	Head and neck cancer	Liver cancer	Lung cancer	Melanoma	Ovarian cancer	Pancreatic cancer	Prostate cancer	Renal cancer	Stomach cancer	Testis cancer	Thyroid cancer	Urothelial cancer
PRC1	O43663	unprognostic (1.14e-1)	unprognostic (3.98e-2)	unprognostic (9.21e-2)	unprognostic (1.75e-3)	unprognostic (2.39e-1)	unprognostic (3.43e-2)	prognostic unfavourable (2.11e-4)	unprognostic (1.24e-3)	unprognostic (3.86e-3)	unprognostic (1.65e-2)	prognostic unfavourable (2.76e-5)	unprognostic (2.49e-2)	prognostic unfavourable (0.00e+0)	unprognostic (3.09e-2)	unprognostic (1.79e-1)	unprognostic (7.90e-2)	unprognostic (3.92e-2)
KIFC1	Q9BW19	unprognostic (7.33e-2)	unprognostic (1.28e-2)	unprognostic (2.17e-1)	unprognostic (2.65e-2)	unprognostic (1.41e-1)	unprognostic (2.30e-2)	prognostic unfavourable (7.07e-8)	unprognostic (6.34e-3)	unprognostic (9.36e-3)	unprognostic (8.58e-2)	prognostic unfavourable (4.21e-4)	unprognostic (1.83e-2)	prognostic unfavourable (0.00e+0)	unprognostic (5.17e-2)	unprognostic (6.66e-2)	unprognostic (1.48e-1)	unprognostic (4.52e-1)
BIRC5	O15392	unprognostic (8.04e-2)	unprognostic (3.51e-2)	unprognostic (4.48e-3)	unprognostic (2.72e-3)	unprognostic (3.37e-1)	unprognostic (3.84e-2)	prognostic unfavourable (5.28e-6)	prognostic unfavourable (4.49e-4)	unprognostic (3.56e-3)	unprognostic (4.53e-3)	unprognostic (2.87e-3)	unprognostic (6.67e-2)	prognostic unfavourable (0.00e+0)	unprognostic (3.77e-2)	unprognostic (4.70e-2)	unprognostic (1.59e-1)	unprognostic (1.16e-1)
PAEP	P09466	unprognostic (3.39e-2)	unprognostic (8.47e-3)	unprognostic (6.84e-2)	unprognostic (3.46e-2)	unprognostic (3.20e-2)	unprognostic (1.19e-1)	prognostic unfavourable (6.61e-6)	unprognostic (1.27e-2)	unprognostic (1.72e-1)	unprognostic (3.95e-3)	unprognostic (1.93e-3)		prognostic unfavourable (0.00e+0)	prognostic unfavourable (5.46e-4)	unprognostic (4.24e-1)		unprognostic (4.98e-2)
CKAP4	Q07065	unprognostic (5.25e-2)	unprognostic (1.47e-1)	unprognostic (1.91e-1)	unprognostic (7.13e-2)	unprognostic (2.44e-2)	unprognostic (4.65e-2)	prognostic unfavourable (6.61e-5)	prognostic unfavourable (5.61e-4)	unprognostic (5.02e-2)	unprognostic (9.66e-3)	unprognostic (1.95e-1)	unprognostic (6.23e-2)	prognostic unfavourable (0.00e+0)	unprognostic (7.20e-3)	unprognostic (6.97e-2)	unprognostic (1.29e-2)	unprognostic (3.66e-2)
KIF2C	Q99661	unprognostic (3.29e-2)	unprognostic (1.35e-2)	unprognostic (1.03e-2)	unprognostic (1.71e-3)	unprognostic (2.77e-1)	unprognostic (5.17e-2)	prognostic unfavourable (3.07e-7)	unprognostic (7.49e-3)	unprognostic (3.33e-3)	unprognostic (3.66e-1)	prognostic unfavourable (6.86e-4)	unprognostic (4.27e-2)	prognostic unfavourable (0.00e+0)	unprognostic (2.33e-3)	unprognostic (1.49e-1)	unprognostic (1.86e-2)	unprognostic (2.41e-1)
UBE2C	O00762	unprognostic (1.45e-2)	unprognostic (2.19e-1)	unprognostic (1.06e-1)	unprognostic (2.11e-3)	unprognostic (2.54e-1)	unprognostic (1.35e-1)	prognostic unfavourable (6.24e-6)	unprognostic (2.27e-3)	unprognostic (2.59e-2)	unprognostic (1.04e-1)	prognostic unfavourable (6.91e-4)	unprognostic (3.76e-2)	prognostic unfavourable (0.00e+0)	unprognostic (3.09e-1)	unprognostic (3.61e-1)	unprognostic (4.65e-2)	unprognostic (2.68e-1)
MYBL2	P10244	unprognostic (9.75e-3)	unprognostic (1.29e-2)	unprognostic (3.20e-1)	prognostic unfavourable (9.73e-4)	unprognostic (2.35e-1)	unprognostic (1.67e-1)	prognostic unfavourable (2.11e-7)	unprognostic (2.66e-3)	unprognostic (9.23e-3)	unprognostic (1.78e-1)	unprognostic (2.38e-3)	unprognostic (1.32e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.42e-1)	unprognostic (2.27e-1)	unprognostic (1.19e-1)	unprognostic (1.84e-1)
DONSON	Q9NYP3	unprognostic (9.90e-3)	unprognostic (1.01e-3)	unprognostic (6.58e-2)	unprognostic (1.66e-1)	unprognostic (3.13e-1)	unprognostic (1.93e-2)	prognostic unfavourable (8.22e-4)	unprognostic (4.00e-2)	unprognostic (5.93e-3)	prognostic favourable (2.17e-4)	unprognostic (1.25e-1)	unprognostic (4.10e-3)	prognostic unfavourable (0.00e+0)	unprognostic (1.77e-2)	unprognostic (1.66e-1)	unprognostic (2.07e-1)	unprognostic (8.83e-2)
RAPGEFL1	Q9UHV5	prognostic favourable (8.43e-4)	prognostic favourable (3.28e-4)	unprognostic (1.61e-1)	unprognostic (1.13e-2)	unprognostic (4.64e-3)	unprognostic (3.48e-2)	unprognostic (5.92e-2)	unprognostic (1.80e-1)	unprognostic (3.64e-2)	unprognostic (2.67e-1)	unprognostic (7.46e-3)	unprognostic (8.84e-3)	prognostic unfavourable (0.00e+0)	unprognostic (7.23e-2)	unprognostic (1.50e-1)	unprognostic (1.15e-1)	unprognostic (2.03e-2)
CDKN3	Q16667	unprognostic (3.46e-2)	unprognostic (9.95e-2)	unprognostic (5.79e-2)	unprognostic (6.78e-3)	unprognostic (2.73e-1)	unprognostic (6.08e-2)	unprognostic (1.51e-3)	prognostic unfavourable (4.52e-4)	unprognostic (2.50e-3)	unprognostic (2.85e-3)	prognostic unfavourable (7.46e-4)	unprognostic (5.89e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.71e-1)	unprognostic (7.30e-2)	unprognostic (7.92e-2)	unprognostic (4.31e-2)
PSRC1	Q6PGN9	unprognostic (1.14e-1)	unprognostic (1.65e-1)	unprognostic (1.42e-3)	unprognostic (6.78e-3)	unprognostic (2.17e-1)	unprognostic (4.76e-2)	prognostic unfavourable (1.36e-9)	unprognostic (3.51e-2)	unprognostic (6.21e-2)	unprognostic (4.88e-3)	unprognostic (1.76e-2)	unprognostic (1.92e-1)	prognostic unfavourable (0.00e+0)	unprognostic (9.43e-2)	unprognostic (2.08e-1)	unprognostic (1.90e-1)	unprognostic (2.12e-1)
P3H1	Q32P28	unprognostic (3.24e-1)	unprognostic (1.04e-1)	unprognostic (9.37e-2)	unprognostic (4.57e-1)	unprognostic (2.03e-1)	unprognostic (1.19e-1)	prognostic unfavourable (4.95e-7)	unprognostic (5.41e-2)	unprognostic (2.70e-3)	unprognostic (9.16e-2)	unprognostic (2.21e-1)	unprognostic (1.21e-1)	prognostic unfavourable (0.00e+0)	unprognostic (1.41e-2)	unprognostic (1.23e-1)	unprognostic (2.67e-2)	unprognostic (1.60e-3)
PTTG1	O95997	unprognostic (6.48e-2)	unprognostic (1.03e-2)	unprognostic (1.40e-3)	unprognostic (4.46e-3)	unprognostic (5.81e-2)	unprognostic (1.29e-1)	prognostic unfavourable (1.62e-6)	unprognostic (7.50e-3)	unprognostic (5.24e-2)	unprognostic (3.47e-2)	unprognostic (2.13e-3)	unprognostic (6.70e-2)	prognostic unfavourable (0.00e+0)	unprognostic (7.17e-2)	unprognostic (1.72e-1)	unprognostic (4.23e-2)	unprognostic (3.35e-2)
CAPZA1	P52907	unprognostic (7.06e-2)	unprognostic (1.97e-1)	unprognostic (1.90e-3)	unprognostic (1.88e-2)	unprognostic (1.20e-1)	unprognostic (1.23e-1)	prognostic unfavourable (2.54e-6)	unprognostic (1.17e-3)	unprognostic (3.15e-2)	unprognostic (3.82e-3)	unprognostic (4.59e-3)	unprognostic (9.50e-2)	prognostic unfavourable (0.00e+0)	unprognostic (4.36e-3)	unprognostic (1.72e-1)	unprognostic (2.42e-1)	unprognostic (2.82e-1)
INTS8	Q75QN2	unprognostic (1.08e-2)	unprognostic (3.12e-2)	unprognostic (1.28e-1)	unprognostic (5.86e-2)	unprognostic (1.96e-1)	unprognostic (4.81e-2)	prognostic unfavourable (2.54e-6)	unprognostic (3.07e-2)	unprognostic (6.87e-2)	unprognostic (9.77e-3)	unprognostic (4.84e-2)	unprognostic (1.53e-1)	prognostic unfavourable (0.00e+0)	unprognostic (1.24e-1)	unprognostic (5.60e-2)	unprognostic (1.11e-1)	unprognostic (3.96e-2)
IQGAP3	Q86VI3	unprognostic (9.99e-3)	unprognostic (5.24e-2)	unprognostic (3.26e-1)	unprognostic (1.55e-3)	unprognostic (1.52e-1)	unprognostic (4.69e-3)	prognostic unfavourable (8.94e-6)	unprognostic (1.86e-3)	unprognostic (1.72e-1)	unprognostic (1.98e-1)	unprognostic (6.35e-3)	unprognostic (1.03e-2)	prognostic unfavourable (0.00e+0)	unprognostic (4.46e-2)	unprognostic (1.53e-1)	unprognostic (6.30e-2)	unprognostic (6.81e-2)
C1QTNF6	Q9BXI9	unprognostic (9.65e-2)	unprognostic (1.21e-2)	unprognostic (2.32e-1)	unprognostic (2.23e-3)	unprognostic (1.25e-3)	unprognostic (3.01e-2)	unprognostic (3.17e-2)	prognostic unfavourable (9.60e-6)	unprognostic (6.96e-2)	unprognostic (5.11e-2)	unprognostic (2.61e-2)	unprognostic (1.72e-1)	prognostic unfavourable (0.00e+0)	unprognostic (1.61e-2)	unprognostic (5.36e-2)	unprognostic (1.08e-3)	unprognostic (1.52e-2)
CENPW	Q5EE01	unprognostic (3.51e-3)	unprognostic (2.35e-1)	unprognostic (3.26e-3)	unprognostic (9.61e-3)	unprognostic (3.78e-1)	unprognostic (9.80e-3)	prognostic unfavourable (1.21e-5)	unprognostic (1.11e-2)	unprognostic (2.82e-2)	unprognostic (9.07e-2)	unprognostic (5.86e-3)	unprognostic (1.08e-1)	prognostic unfavourable (0.00e+0)	unprognostic (1.07e-1)	unprognostic (1.85e-1)	unprognostic (2.30e-1)	unprognostic (1.22e-1)
AURKB	Q96GD4	unprognostic (4.76e-2)	unprognostic (3.61e-3)	unprognostic (2.25e-1)	unprognostic (3.14e-2)	unprognostic (2.27e-1)	unprognostic (6.05e-2)	prognostic unfavourable (1.24e-4)	unprognostic (1.99e-3)	unprognostic (9.41e-3)	unprognostic (3.47e-2)	unprognostic (4.61e-3)	unprognostic (1.01e-2)	prognostic unfavourable (0.00e+0)	unprognostic (7.77e-2)	unprognostic (2.93e-1)	unprognostic (6.76e-2)	unprognostic (3.77e-1)
IL20RB	Q6UXL0	unprognostic (1.35e-2)	unprognostic (1.05e-1)	unprognostic (7.43e-4)	unprognostic (2.48e-4)	unprognostic (2.74e-1)	unprognostic (3.31e-1)	unprognostic (7.43e-4)	unprognostic (4.08e-3)	unprognostic (7.64e-2)	unprognostic (2.15e-1)	prognostic unfavourable (1.44e-4)	unprognostic (3.57e-1)	prognostic unfavourable (0.00e+0)	unprognostic (2.55e-1)	unprognostic (3.55e-2)	unprognostic (1.33e-2)	unprognostic (5.57e-2)
MSTO1	Q9BUK6	unprognostic (1.80e-2)	unprognostic (3.43e-1)	unprognostic (6.49e-2)	unprognostic (2.65e-1)	unprognostic (1.15e-1)	unprognostic (4.46e-1)	prognostic unfavourable (1.90e-4)	unprognostic (9.63e-2)	unprognostic (1.26e-1)	unprognostic (5.28e-2)	unprognostic (3.73e-2)	unprognostic (3.67e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.56e-1)	unprognostic (1.12e-1)	unprognostic (5.35e-2)	unprognostic (1.28e-1)
SLC7A5	Q01650	unprognostic (2.71e-3)	unprognostic (1.10e-2)	unprognostic (1.02e-1)	unprognostic (2.64e-1)	unprognostic (3.22e-2)	unprognostic (2.99e-3)	unprognostic (1.64e-1)	prognostic unfavourable (2.43e-4)	unprognostic (6.86e-2)	unprognostic (4.46e-2)	unprognostic (1.27e-1)	unprognostic (3.17e-1)	prognostic unfavourable (0.00e+0)	unprognostic (5.93e-2)	unprognostic (5.52e-3)	unprognostic (1.64e-2)	unprognostic (7.19e-3)
PDCD5	O14737	unprognostic (1.04e-1)	unprognostic (2.08e-1)	unprognostic (9.65e-2)	prognostic unfavourable (2.60e-4)	unprognostic (2.02e-1)	unprognostic (8.64e-2)	unprognostic (3.64e-3)	unprognostic (2.43e-2)	unprognostic (6.22e-2)	unprognostic (8.49e-2)	unprognostic (3.87e-2)	unprognostic (1.93e-2)	prognostic unfavourable (0.00e+0)	unprognostic (6.00e-2)	unprognostic (3.35e-2)	unprognostic (1.10e-1)	unprognostic (9.54e-2)
TACC3	Q9Y6A5	unprognostic (2.95e-1)	unprognostic (1.18e-1)	unprognostic (7.71e-2)	unprognostic (4.35e-2)	unprognostic (6.58e-2)	unprognostic (1.84e-2)	prognostic unfavourable (3.30e-4)	unprognostic (1.10e-3)	unprognostic (4.61e-2)	unprognostic (9.12e-2)	unprognostic (2.91e-2)	unprognostic (2.26e-2)	prognostic unfavourable (0.00e+0)	unprognostic (4.66e-2)	unprognostic (2.09e-1)	unprognostic (4.44e-3)	unprognostic (9.75e-2)
CARS	P49589	unprognostic (9.10e-3)	unprognostic (1.83e-1)	unprognostic (4.16e-3)	unprognostic (1.43e-1)	unprognostic (1.00e-2)	unprognostic (7.97e-2)	prognostic unfavourable (5.16e-4)	unprognostic (1.41e-2)	unprognostic (1.05e-1)	unprognostic (8.00e-2)	unprognostic (5.51e-2)	unprognostic (2.45e-1)	prognostic unfavourable (0.00e+0)	unprognostic (5.37e-2)	unprognostic (1.71e-1)	unprognostic (1.48e-1)	unprognostic (3.46e-1)
